date,region,product,units_sold,revenue
2026-01-05,North,Laptop,12,120000
2026-01-12,South,Laptop,10,100000
2026-01-20,East,Phone,25,75000
2026-02-03,West,Phone,30,90000
2026-02-10,North,Phone,20,60000
2026-02-18,South,Tablet,18,54000
2026-03-02,East,Laptop,8,80000
2026-03-15,West,Tablet,22,66000
2026-04-04,North,Laptop,15,150000
2026-04-12,South,Phone,28,84000
2026-04-20,East,Tablet,25,75000
2026-05-03,West,Laptop,11,110000
2026-05-15,North,Phone,24,72000
2026-05-22,South,Laptop,13,130000
2026-06-01,East,Phone,32,96000
2026-06-14,West,Tablet,27,81000
2026-07-05,North,Tablet,30,90000
2026-07-18,South,Phone,35,105000
2026-08-02,East,Laptop,14,140000
2026-08-15,West,Phone,29,87000
2026-09-01,North,Laptop,18,180000
2026-09-12,South,Tablet,24,72000
2026-10-04,East,Phone,36,108000
2026-10-20,West,Laptop,16,160000
2026-11-03,North,Phone,31,93000
2026-11-18,South,Laptop,17,170000
2026-12-02,East,Tablet,28,84000
2026-12-15,West,Phone,34,102000
